split,filename,niqe,brisque,piqe
val,0_1_part_003.mp4_frame_000270.jpg,4.7195,35.1476,45.5851
val,0_1_part_003.mp4_frame_000271.jpg,4.6687,34.6193,44.3815
val,0_1_part_003.mp4_frame_000283.jpg,4.5959,33.9684,44.6607
val,0_1_part_003.mp4_frame_000308.jpg,4.6556,32.9836,42.8583
val,0_1_part_003.mp4_frame_000309.jpg,4.6892,32.7126,44.0474
val,0_1_part_003.mp4_frame_000313.jpg,4.5908,31.9118,42.9014
val,0_1_part_003.mp4_frame_000325.jpg,4.6996,32.9172,43.7572
val,0_1_part_003.mp4_frame_000366.jpg,4.5925,32.5134,41.7275
val,0_1_part_003.mp4_frame_000374.jpg,4.5707,32.4201,40.6625
val,0_1_part_003.mp4_frame_000386.jpg,4.5547,32.6935,41.3813
val,0_1_part_003.mp4_frame_000404.jpg,4.6209,33.7307,42.6309
val,0_1_part_003.mp4_frame_000420.jpg,4.7341,32.362,42.5413
val,0_1_part_003.mp4_frame_000421.jpg,4.666,31.8176,44.4749
val,0_1_part_003.mp4_frame_000448.jpg,4.6632,31.2184,43.6292
val,0_1_part_003.mp4_frame_000467.jpg,4.5069,31.363,43.6428
val,0_1_part_003.mp4_frame_000476.jpg,4.6268,28.05,39.5561
val,0_1_part_003.mp4_frame_000483.jpg,5.0255,32.8864,46.644
val,0_1_part_003.mp4_frame_000506.jpg,6.5133,53.1901,62.1129
val,0_1_part_003.mp4_frame_000513.jpg,6.5174,53.2849,60.7239
val,0_1_part_003.mp4_frame_000529.jpg,6.9531,52.0588,63.6642
val,0_1_part_003.mp4_frame_000562.jpg,4.8131,32.696,48.6548
val,0_1_part_003.mp4_frame_000574.jpg,4.4588,34.4318,43.6428
val,0_1_part_004.mp4_frame_000002.jpg,4.0803,31.3859,39.0102
val,0_1_part_004.mp4_frame_000009.jpg,4.2692,33.2282,40.9669
val,0_1_part_004.mp4_frame_000010.jpg,4.3563,33.048,41.2771
val,0_1_part_004.mp4_frame_000013.jpg,4.3508,30.3947,37.3214
val,0_1_part_004.mp4_frame_000014.jpg,4.4406,31.2248,39.9937
val,0_1_part_004.mp4_frame_000017.jpg,4.5786,33.9543,43.2468
val,0_1_part_004.mp4_frame_000027.jpg,5.637,46.4045,54.8701
val,0_1_part_004.mp4_frame_000061.jpg,7.0885,61.1096,73.4039
val,0_1_part_004.mp4_frame_000062.jpg,7.1416,60.3893,70.6176
val,0_1_part_004.mp4_frame_000066.jpg,6.9332,58.8781,64.3744
val,0_1_part_004.mp4_frame_000085.jpg,6.9898,60.4489,67.1792
val,0_1_part_004.mp4_frame_000087.jpg,6.8624,59.4714,67.6127
val,0_1_part_004.mp4_frame_000100.jpg,6.7131,57.7971,67.4086
val,0_1_part_004.mp4_frame_000103.jpg,6.781,57.1828,62.0327
val,0_1_part_004.mp4_frame_000119.jpg,7.0084,58.9528,69.7825
val,0_1_part_004.mp4_frame_000156.jpg,7.0919,59.6047,67.7707
val,0_1_part_004.mp4_frame_000163.jpg,6.798,57.757,63.1952
val,0_1_part_004.mp4_frame_000164.jpg,6.7878,57.926,65.6932
val,0_1_part_004.mp4_frame_000179.jpg,7.1296,58.9225,73.3347
val,0_1_part_004.mp4_frame_000182.jpg,7.0116,58.4836,66.196
val,0_1_part_004.mp4_frame_000183.jpg,6.9566,58.027,68.5307
val,0_1_part_004.mp4_frame_000193.jpg,6.9131,59.2321,66.4509
val,0_1_part_004.mp4_frame_000194.jpg,6.8479,58.3425,64.8877
